# NPC types vanilla's own ambient spawning can produce and this server cannot.
# Generated by tools/check_spawn_reach.py --update from a decompiled tree. Never
# hand-edited: rerun the tool and review the diff, as with the other generated tables.
# id	name
52	DoctorBones
132	BaldZombie
186	PincushionZombie
187	SlimedZombie
188	SwampZombie
189	TwiggyZombie
200	FemaleZombie
201	HeadacheSkeleton
202	MisassembledSkeleton
203	PantlessSkeleton
230	GoldfishWalker
231	HornetFatty
232	HornetHoney
233	HornetLeafy
234	HornetSpikey
235	HornetStingy
430	ArmedZombie
431	ArmedZombieEskimo
432	ArmedZombiePincussion
433	ArmedZombieSlimed
434	ArmedZombieSwamp
435	ArmedZombieTwiggy
436	ArmedZombieCenx
449	BoneThrowingSkeleton
450	BoneThrowingSkeleton2
451	BoneThrowingSkeleton3
452	BoneThrowingSkeleton4
583	FairyCritterPink
584	FairyCritterGreen
585	FairyCritterBlue
590	TorchZombie
591	ArmedTorchZombie
593	GoldGoldfishWalker
601	GoldDragonfly
602	Seagull
604	LadyBug
605	GoldLadyBug
607	Pupfish
608	Grebe
612	WaterStrider
613	GoldWaterStrider
615	Dolphin
616	Turtle
617	TurtleJungle
624	Gnome
625	SeaTurtle
626	Seahorse
627	GoldSeahorse
639	GemSquirrelAmethyst
640	GemSquirrelTopaz
641	GemSquirrelSapphire
642	GemSquirrelEmerald
643	GemSquirrelRuby
644	GemSquirrelDiamond
645	GemSquirrelAmber
646	GemBunnyAmethyst
647	GemBunnyTopaz
648	GemBunnySapphire
649	GemBunnyEmerald
650	GemBunnyRuby
651	GemBunnyDiamond
652	GemBunnyAmber
688	Pufferfish
691	MossZombie
695	PalworldCattivaDistressed
696	PalworldFoxsparksDistressed
